customer_id,age,gender,income,website_visits,email_opens,email_clicks,purchases,total_spent,campaign,ad_spend,impressions,clicks,conversions
C001,25,Male,35000,12,8,4,2,240,Instagram,1200,15000,850,75
C002,34,Female,52000,20,14,8,5,680,Google Ads,1800,18000,1200,110
C003,42,Male,75000,25,18,10,8,1250,Facebook,2200,25000,1800,160
C004,29,Female,41000,8,5,2,1,90,Instagram,1200,15000,600,45
C005,51,Male,95000,30,22,15,12,2100,Google Ads,1800,18000,1600,150
C006,23,Female,28000,5,3,1,0,0,Facebook,2200,25000,500,30
C007,38,Male,62000,18,12,7,6,850,Instagram,1200,15000,1000,95
C008,45,Female,82000,27,20,13,10,1750,Google Ads,1800,18000,1500,140
C009,31,Male,46000,10,7,3,2,260,Facebook,2200,25000,750,60
C010,56,Female,105000,32,25,17,15,2800,Google Ads,1800,18000,1700,165
C011,27,Male,39000,9,6,2,1,120,Instagram,1200,15000,700,50
C012,36,Female,58000,21,15,9,7,920,Facebook,2200,25000,1300,115
C013,48,Male,88000,29,21,14,11,1900,Google Ads,1800,18000,1550,145
C014,22,Female,25000,4,2,1,0,0,Instagram,1200,15000,450,25
C015,40,Male,67000,19,13,8,7,980,Facebook,2200,25000,1250,105
C016,33,Female,49000,15,10,5,4,540,Instagram,1200,15000,900,80
C017,53,Male,92000,28,23,16,13,2300,Google Ads,1800,18000,1650,155
C018,30,Female,43000,11,7,3,2,280,Facebook,2200,25000,700,55
C019,44,Male,79000,24,17,11,9,1450,Instagram,1200,15000,1150,100
C020,26,Female,32000,7,4,2,1,100,Facebook,2200,25000,550,35
